HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
8:02 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:03 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:04 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:05 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:06 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:07 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:08 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:09 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,,,,Z9,Z9,
8:10 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,FC,FC,FC,Z9,Z9,
8:11 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,FC,FC,FC,Z9,Z9,
8:12 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,FC,FC,FC,Z9,Z9,
8:13 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,FC,FC,FC,Z9,Z9,
8:14 AM,Z1,Z1,A1,Z2,,C1,Z3,Z3,A2,Z4,Z4,,Z5,Z5,B4,Z6,Z6,A4,Z7,Z7,B5,Z8,Z8,A6,FC,FC,FC,Z9,Z9,
8:15 AM,P,P,A1,P,,C1,P,P,A2,P,P,,Z5,Z5,B4,P,P,A4,P,P,B5,P,P,A6,FC,FC,FC,Z9,Z9,A7
8:16 AM,P,P,A1,P,,C1,P,P,A2,P,P,,Z5,Z5,B4,P,P,A4,P,P,B5,P,P,A6,FC,FC,FC,Z9,Z9,A7
8:17 AM,P,P,A1,P,,C1,P,P,A2,P,P,,Z5,Z5,B4,P,P,A4,P,P,B5,P,P,A6,FC,FC,FC,Z9,Z9,A7
